SiteCode,Start_Long,Start_Lat,End_Long,End_Lat,Start_Label,End_Label
SESL,-119.02788141695713,33.466614033467174,-119.02784125968164,33.46575839692359,0 m,100 m
WA,-119.06176700121374,33.479852120834146,-119.0627869716111,33.47997473859822,0 m,100 m
LH,-119.35865154577664,34.01443078583611,-119.35958008620293,34.01411004581541,0 m,100 m
CC,-119.37216524490519,34.01610966589465,-119.37151294147421,34.01540491252664,0 m,100 m
EFC,-119.38574546889694,34.004776970095904,-119.385940473608,34.00408700867727,0 m,100 m
LS,-119.54194002767905,34.04417325831642,-119.54302835458384,34.0441015970841,0 m,100 m
KH,-119.43144570453661,34.01619439414576,-119.43241323366617,34.01653064151304,0 m,100 m
JLSO,-120.10075546492754,33.897877321185334,-120.1010385436957,33.896974251623746,0 m,100 m
TC,-120.1550501689774,33.90844952237254,-120.15560807071874,33.908659558093824,0 m,100 m
CVP,-119.56647757834108,34.05444833889702,-119.56740926952567,34.053998612175945,0 m,100 m
DPM,-119.60079532652338,34.0451573320276,-119.60174712749559,34.04472390564464,0 m,100 m
GI,-119.8275953236024,33.9499950796032,-119.82752954505787,33.94913039237365,0 m,100 m
SP,-120.11887701594964,33.89219419286819,-120.11992998621531,33.89238990731119,0 m,100 m
LC,-119.36114412698171,34.01674587301976,-119.36197172134364,34.016208555136735,0 m,100 m
PRF,-119.52492323017755,34.03797877719137,-119.52571621596773,34.03859142671012,0 m,100 m
PP,-119.5816516226148,34.052048319756715,-119.58272892335272,34.0522371399314,0 m,100 m
YB,-119.56227573379832,33.989574979206594,-119.56331213135107,33.9898363343047,0 m,100 m
HR,-120.3559672681418,34.06420745987501,-120.3569674302195,34.06450986439523,0 m,100 m
MM,-120.39452146255485,34.02354866906011,-120.39551856150877,34.023867948622446,0 m,100 m
SA,-119.55104631089851,34.04773503330357,-119.55197614488083,34.04816697379274,0 m,100 m
BSBR,-119.38844507606,34.01250233173969,-119.38954323484583,34.01254820118344,0 m,100 m
CP,-120.1867436815276,33.92281335270922,-120.1877799542122,33.92303177860888,0 m,100 m
FH,-119.75508019946852,34.05679051045963,-119.75540990381857,34.055953721057925,0 m,100 m
PB,-119.70318877600896,34.0349507638452,-119.70356587456382,34.034131388898125,0 m,100 m
CSAW,-120.13512576705683,33.90029406247803,-120.1361617180023,33.900565171692094,0 m,100 m
JLNO,-120.10283333695938,33.90177711537094,-120.10354177876354,33.901193731556994,0 m,100 m
AP,-119.02769299410069,33.48788082656437,-119.02821970842615,33.48714804994955,0 m,100 m
SER,-119.03116241704686,33.46289137720013,-119.03224095880958,33.46297934053512,0 m,100 m
CAT,-119.03867007574547,33.46454867458458,-119.03966525354382,33.46477892732316,0 m,100 m
GC,-119.026632342916,33.47261606358964,-119.02711907338899,33.473444070084106,0 m,100 m
